label,sample_k,samples,flops,error
K=4,1,2,85006709118,8.709183661808158
K=4,2,4,85006774654,8.674403535550256
K=4,3,8,85006905726,8.665772447377748
K=4,4,16,85007167870,8.164388206194893
K=4,5,32,85007692158,9.16501002686141
K=4,6,64,85008740734,5.947730826243252
K=4,7,128,85010837886,6.44738445155601
K=4,8,256,85015032190,4.591781985232583
K=4,9,512,85023420798,2.8842171267391996
K=4,10,1024,85040198014,2.432286812243969
K=4,11,2048,85073752446,1.1078609739034029
K=4,12,4096,85140861310,0.7600942281083927
K=4,13,8192,85275079038,0.40369502313579
K=4,14,16384,85543514494,0.09860441838317208
K=4,15,32768,86080385406,0.13778635972852768
K=4,16,65536,87154127230,0.06149697008798926
K=4,17,131072,89301610878,0.028737396090588462
K=4,18,262144,93596578174,0.011592385717956654
K=4,19,524288,102186512766,0.018232281181714445
K=4,20,1048576,119366381950,0.009134275279579891
K=4,21,2097152,153726120318,0.007728655295506777
K=4,22,4194304,222445597054,0.008349744522478515
K=4,23,8388608,359884550526,0.008289391198928157
K=4,24,16777216,634762457470,0.008765348674815102
K=4,25,33554432,1184518271358,0.008631730435065273
sampling,1,2,263168,5311.539778404112
sampling,2,4,526336,3124.2443713303137
sampling,3,8,1052672,1204.3928798645734
sampling,4,16,2105344,594.9637809906426
sampling,5,32,4210688,244.33273197228348
sampling,6,64,8421376,172.08254760930606
sampling,7,128,16842752,57.64875024221526
sampling,8,256,33685504,34.76975019804488
sampling,9,512,67371008,12.482542817679658
sampling,10,1024,134742016,12.455955229323013
sampling,11,2048,269484032,9.28440697159474
sampling,12,4096,538968064,2.420235561982419
sampling,13,8192,1077936128,1.2268246312597166
sampling,14,16384,2155872256,0.553877413507277
sampling,15,32768,4311744512,0.48074690192467634
sampling,16,65536,8623489024,0.09790613251672162
sampling,17,131072,17246978048,0.09150950782432092
sampling,18,262144,34493956096,0.03404724793010209
sampling,19,524288,68987912192,0.010253129856896318
sampling,20,1048576,137975824384,0.009870695885064416
sampling,21,2097152,275951648768,0.005312177753253435
sampling,22,4194304,551903297536,0.002239158302168932
sampling,23,8388608,1103806595072,0.0011780615468781693
sampling,24,16777216,2207613190144,0.0005714058099419996
sampling,25,33554432,4415226380288,0.00034860269679577087
