method,k,m,mean_squared_error,log_mean_squared_error,forward_flops,elapsed_seconds,forward_seconds
sampling,1,2,5311.539778404112,8.577637049301337,263168,0.0010151863098144531,0.00022935867309570312
sampling,2,4,3124.2443713303137,8.046947731757585,526336,0.0005402565002441406,0.00018548965454101562
sampling,3,8,1204.3928798645734,7.093730884820404,1052672,0.0005793571472167969,0.0002486705780029297
sampling,4,16,594.9637809906426,6.388500531408202,2105344,0.0005128383636474609,0.0001881122589111328
sampling,5,32,244.33273197228348,5.498530951983385,4210688,0.0005102157592773438,0.0001800060272216797
sampling,6,64,172.08254760930606,5.147974289645945,8421376,0.0005269050598144531,0.0001862049102783203
sampling,7,128,57.64875024221526,4.054368568114352,16842752,0.0005118846893310547,0.0001862049102783203
sampling,8,256,34.76975019804488,3.5487477615834035,33685504,0.0005741119384765625,0.00019693374633789062
sampling,9,512,12.482542817679658,2.5243310936034202,67371008,0.0007233619689941406,0.00018930435180664062
sampling,10,1024,12.455955229323013,2.5221988402191213,134742016,0.0012340545654296875,0.0003085136413574219
sampling,11,2048,9.28440697159474,2.2283363232543962,269484032,0.0007627010345458984,0.00041604042053222656
sampling,12,4096,2.420235561982419,0.8838648750935542,538968064,0.0007011890411376953,0.00020194053649902344
sampling,13,8192,1.2268246312597166,0.20442923070534372,1077936128,0.0007691383361816406,0.0001976490020751953
sampling,14,16384,0.553877413507277,-0.5908118919774578,2155872256,0.0008261203765869141,0.000244140625
sampling,15,32768,0.48074690192467634,-0.7324143387884556,4311744512,0.0012373924255371094,0.0004456043243408203
sampling,16,65536,0.09790613251672162,-2.3237460907872727,8623489024,0.0020580291748046875,0.0008456707000732422
sampling,17,131072,0.09150950782432092,-2.391312401450683,17246978048,0.004050254821777344,0.0016987323760986328
sampling,18,262144,0.03404724793010209,-3.3800060740260007,34493956096,0.007742404937744141,0.003383159637451172
sampling,19,524288,0.010253129856896318,-4.580172268115797,68987912192,0.014682769775390625,0.006772041320800781
sampling,20,1048576,0.009870695885064416,-4.61818492294973,137975824384,0.028699874877929688,0.013506889343261719
sampling,21,2097152,0.005312177753253435,-5.237753404782504,275951648768,0.05683279037475586,0.02693009376525879
sampling,22,4194304,0.002239158302168932,-6.1016552416901995,551903297536,0.11267447471618652,0.053647518157958984
sampling,23,8388608,0.0011780615468781693,-6.743884948192124,1103806595072,0.22487664222717285,0.10746407508850098
sampling,24,16777216,0.0005714058099419996,-7.4674109003124,2207613190144,0.448697566986084,0.2144019603729248
sampling,25,33554432,0.00034860269679577087,-7.961577688833203,4415226380288,0.8979706764221191,0.4298689365386963
