layer,index,singular_value
0,1,1456.8569857435182
0,2,1421.2386063927956
0,3,1363.110220601204
0,4,1333.969570361972
0,5,1307.8039193181864
0,6,1287.5862310727598
0,7,1209.2260779267176
0,8,1204.3790290776594
0,9,1155.5838094962207
0,10,1132.3290320574204
0,11,1091.9867264327208
0,12,1086.3882534698885
0,13,1057.9862124994122
0,14,1008.9789898078334
0,15,984.8423279779039
0,16,977.1679332603882
0,17,962.5196423501086
0,18,932.4862189392527
0,19,908.1355447715453
0,20,891.1229845160942
0,21,860.0872782981451
0,22,844.0463327295381
0,23,822.6557027771432
0,24,783.1492263303815
0,25,752.7508119231244
0,26,740.396052058526
0,27,698.7518904266914
0,28,675.5526174207405
0,29,663.7086750211458
0,30,622.6753641803265
0,31,592.1414204086274
0,32,547.8715396961674
0,33,6.699978629511357e-05
0,34,6.604209531629265e-05
0,35,6.37461131069481e-05
0,36,6.240248890539545e-05
0,37,6.176864799047138e-05
0,38,6.104909119689885e-05
0,39,6.02944013205819e-05
0,40,5.97823014379106e-05
0,41,5.9637649231657725e-05
0,42,5.9395335635897055e-05
0,43,5.9061642392367615e-05
0,44,5.832945095406671e-05
0,45,5.8144130813746836e-05
0,46,5.756953395763037e-05
0,47,5.747788065739652e-05
0,48,5.7209799044626235e-05
0,49,5.6996513651576847e-05
0,50,5.670268137568066e-05
0,51,5.6137012191631346e-05
0,52,5.590742995984575e-05
0,53,5.570117155251826e-05
0,54,5.5244465260529554e-05
0,55,5.477071903965251e-05
0,56,5.4525427146824215e-05
0,57,5.427333603772688e-05
0,58,5.3960888564978044e-05
0,59,5.383253262528997e-05
0,60,5.3504175926213804e-05
0,61,5.337516156790074e-05
0,62,5.3111333109649965e-05
0,63,5.28017070384863e-05
0,64,5.273264863416901e-05
0,65,5.268926482231075e-05
0,66,5.252110072578706e-05
0,67,5.226683697048477e-05
0,68,5.202065124323079e-05
0,69,5.190758204904699e-05
0,70,5.1899850680228786e-05
0,71,5.159872358530623e-05
0,72,5.125316329903492e-05
0,73,5.091133652836048e-05
0,74,5.068069799713534e-05
0,75,5.03981021839708e-05
0,76,5.0276686176941064e-05
0,77,5.009824008413684e-05
0,78,5.007326377433854e-05
0,79,4.9748435903554895e-05
0,80,4.968079245129709e-05
0,81,4.947954375670605e-05
0,82,4.896705565486716e-05
0,83,4.887591567665496e-05
0,84,4.867703884769692e-05
0,85,4.851206660532673e-05
0,86,4.837396381924174e-05
0,87,4.8096659523042104e-05
0,88,4.794649869696103e-05
0,89,4.782805400814138e-05
0,90,4.7634241015786984e-05
0,91,4.744146221962827e-05
0,92,4.733483677824757e-05
0,93,4.6960812191186394e-05
0,94,4.678575600978083e-05
0,95,4.6343539817737365e-05
0,96,4.5943301225908275e-05
0,97,4.584499586879991e-05
0,98,4.55524144869032e-05
0,99,4.527439033706587e-05
0,100,4.509700659335468e-05
0,101,4.499063922541194e-05
0,102,4.4449952701557503e-05
0,103,4.4381107517358786e-05
0,104,4.4172837180735295e-05
0,105,4.3876795366180474e-05
0,106,4.3621631080260384e-05
0,107,4.3476613024112296e-05
0,108,4.318195368022951e-05
0,109,4.2695166175834036e-05
0,110,4.2314689592423774e-05
0,111,4.2083669050791355e-05
0,112,4.1689663228654607e-05
0,113,4.1504209001986915e-05
0,114,4.107831942683593e-05
0,115,4.081098128640136e-05
0,116,4.049325350558979e-05
0,117,4.008058358580413e-05
0,118,3.95311647406546e-05
0,119,3.91900454945095e-05
0,120,3.9082890622120307e-05
0,121,3.8500758364238134e-05
0,122,3.840256568150181e-05
0,123,3.816217715407482e-05
