k,m,squared_error,log_k,log_m,log_squared_error
1,2,1.5001861462234955e-12,0.0,0.6931471805599453,-27.225431918037508
2,4,7.958158351667763e-13,0.6931471805599453,1.3862943611198906,-27.859408598690624
3,8,1.9678446269020312e-13,1.0986122886681098,2.0794415416798357,-29.25666736315413
4,16,2.074682696135891e-13,1.3862943611198906,2.772588722239781,-29.203797984457882
5,32,1.0901807910716198e-13,1.6094379124341003,3.4657359027997265,-29.84726266306689
6,64,3.0172098189138073e-14,1.791759469228055,4.1588830833596715,-31.13185879861139
7,128,1.2312649112217607e-14,1.9459101490553132,4.852030263919617,-32.02814927784885
8,256,1.25867156344672e-14,2.0794415416798357,5.545177444479562,-32.006134451858806
9,512,1.1846281521899421e-14,2.1972245773362196,6.238324625039508,-32.06676237219399
10,1024,1.7386546372689804e-15,2.302585092994046,6.931471805599453,-33.985664777727045
11,2048,8.297272905096754e-16,2.3978952727983707,7.6246189861593985,-34.725434592742694
12,4096,9.82515836140485e-16,2.4849066497880004,8.317766166719343,-34.556415212070156
13,8192,2.9179058399357623e-16,2.5649493574615367,9.010913347279288,-35.77049530702397
14,16384,1.5782313281739685e-16,2.6390573296152584,9.704060527839234,-36.38505668042417
15,32768,6.21656927130962e-17,2.70805020110221,10.39720770839918,-37.31672839041325
16,65536,2.2652776189673096e-17,2.772588722239781,11.090354888959125,-38.32624926039426
