k,m,run,seed_base,squared_error,log_squared_error
1,2,0,1010000,422.26486056990717,6.045632748839866
1,2,1,2010000,497.6996990012554,6.209996881084851
1,2,2,3010000,1111.505583503661,7.013470756786741
1,2,3,4010000,281.7409848108206,5.640988155285768
1,2,4,5010000,251.04222967407733,5.525621170693516
1,2,5,6010000,533.9547820599123,6.280311157584402
1,2,6,7010000,282.0997319026945,5.642260667644842
1,2,7,8010000,232.14899240409727,5.447379374176939
1,2,8,9010000,313.1663123102933,5.746734398658298
1,2,9,10010000,233.56367261826318,5.453454727809019
2,4,0,1020000,224.0022436695396,5.411656068186749
2,4,1,2020000,260.7774602342672,5.563667400835496
2,4,2,3020000,110.18693673598833,4.702178348276512
2,4,3,4020000,180.47330114243732,5.195582850723889
2,4,4,5020000,197.71076550005193,5.286805182412039
2,4,5,6020000,106.36266284137025,4.666854602178102
2,4,6,7020000,248.30610063939636,5.51466226184337
2,4,7,8020000,167.91581723750073,5.1234627659447565
2,4,8,9020000,226.32537710129407,5.421973685553838
2,4,9,10020000,175.25534230986315,5.166244009386525
3,8,0,1030000,55.38990205274388,4.0143973037232445
3,8,1,2030000,123.459300072063,4.81591154768079
3,8,2,3030000,58.28053707074168,4.065268196637009
3,8,3,4030000,43.50671026852537,3.772915185244495
3,8,4,5030000,67.57037301475998,4.213169617968559
3,8,5,6030000,62.30201305417767,4.131993737537472
3,8,6,7030000,152.4312374121629,5.026713592145168
3,8,7,8030000,176.23848408803036,5.171838101050096
3,8,8,9030000,156.4454627465584,5.052707468393984
3,8,9,10030000,122.8887321962356,4.811279329669407
4,16,0,1040000,58.39712635768509,4.067266682419494
4,16,1,2040000,92.6483805931471,4.528811473821432
4,16,2,3040000,31.229532092386695,3.441364188550236
4,16,3,4040000,58.18899630258228,4.06369626989604
4,16,4,5040000,29.25835944529237,3.3761653258482736
4,16,5,6040000,34.89893739464153,3.552456381599916
4,16,6,7040000,39.93254680032396,3.687191700667113
4,16,7,8040000,35.811993405878866,3.578282848640285
4,16,8,9040000,28.736903307570742,3.358182126326827
4,16,9,10040000,39.41867079961264,3.6742395822218477
5,32,0,1050000,30.685861277728872,3.423802003810484
5,32,1,2050000,32.579612324644614,3.4836867039209243
5,32,2,3050000,34.400160695598736,3.538061235752126
5,32,3,4050000,16.980448715440662,2.8320626066495067
5,32,4,5050000,9.128974112454792,2.211453323830735
5,32,5,6050000,24.711834143923372,3.207282244033519
5,32,6,7050000,49.14083130838645,3.8946902840925213
5,32,7,8050000,27.67715817863074,3.320607458521874
5,32,8,9050000,27.659667246386785,3.319975296026389
5,32,9,10050000,31.4327886735827,3.4478515733635775
6,64,0,1060000,8.492690635099265,2.1392058682659854
6,64,1,2060000,13.432643258485275,2.597687808628943
6,64,2,3060000,7.118222662323582,1.9626580681839605
6,64,3,4060000,15.785270324417322,2.759077247261944
6,64,4,5060000,7.555087808841508,2.0222212182701997
6,64,5,6060000,17.512882727696198,2.8629367659679983
6,64,6,7060000,15.30732683115623,2.7283315916263318
6,64,7,8060000,16.927317466998208,2.8289287350968513
6,64,8,9060000,11.755466711985441,2.4643183844778425
6,64,9,10060000,11.172814034220274,2.4134835092147693
7,128,0,1070000,3.4657026221079303,1.2429153890285267
7,128,1,2070000,10.768903272487847,2.376662654273519
7,128,2,3070000,4.673068272735611,1.5418158736555632
7,128,3,4070000,4.081143273410632,1.4063771632346733
7,128,4,5070000,6.763186581319142,1.911494166755665
7,128,5,6070000,13.342945751127509,2.590987837034227
7,128,6,7070000,5.295142657029314,1.666789920527898
7,128,7,8070000,3.017292665691426,1.1043599610046497
7,128,8,9070000,7.886243637084153,2.0651199298658667
7,128,9,10070000,6.264542333689786,1.8349055343931098
8,256,0,1080000,3.542845490075305,1.2649302150185664
8,256,1,2080000,5.8890523435752735,1.7730950922868776
8,256,2,3080000,2.7156677168420997,0.9990378593703115
8,256,3,4080000,2.2790378477527944,0.8237533573010749
8,256,4,5080000,2.499923676627457,0.9162602020591079
8,256,5,6080000,0.9479432840936088,-0.05346060542229185
8,256,6,7080000,1.335021689126924,0.288947538257261
8,256,7,8080000,8.903150232816731,2.1864051728529295
8,256,8,9080000,2.248248167668533,0.8101513208087233
8,256,9,10080000,5.868734356518918,1.7696389984150016
9,512,0,1090000,3.334431815484514,1.2043022946833801
9,512,1,2090000,1.8618860230340122,0.621589964862117
9,512,2,3090000,1.2747858626804907,0.2427782136662371
9,512,3,4090000,1.1747958696156844,0.161094404517016
9,512,4,5090000,0.9299277986848034,-0.07264833167144401
9,512,5,6090000,0.9705468450390239,-0.029895608564232037
9,512,6,7090000,1.166193623412981,0.1537451319578204
9,512,7,8090000,2.6180315403124466,0.9624227148988836
9,512,8,9090000,1.1421510083131832,0.1329133339396322
9,512,9,10090000,0.9360841065999222,-0.06604994906293699
10,1024,0,1100000,0.4893877735331603,-0.7146001108496721
10,1024,1,2100000,0.38418399615820453,-0.9566336844913157
10,1024,2,3100000,0.5450261348406802,-0.6069215316325309
10,1024,3,4100000,0.8909797080990459,-0.11543362607027781
10,1024,4,5100000,1.4031562413497944,0.33872415725057325
10,1024,5,6100000,0.5403736957531999,-0.6154943495929978
10,1024,6,7100000,0.7519943620821681,-0.2850264522915611
10,1024,7,8100000,0.5099899325190825,-0.6733642936172668
10,1024,8,9100000,0.5121602639471743,-0.6691176873999424
10,1024,9,10100000,0.35810929783444445,-1.0269170379628367
11,2048,0,1110000,0.2335474697724066,-1.4543699258653173
11,2048,1,2110000,0.12950484977484733,-2.0440369485449574
11,2048,2,3110000,0.3276888663306945,-1.1156906990431419
11,2048,3,4110000,0.23515639991734205,-1.4475044546427385
11,2048,4,5110000,0.2527309326988627,-1.3754298632987119
11,2048,5,6110000,0.33545144370459434,-1.0922780611977514
11,2048,6,7110000,0.5714434605726403,-0.5595897322727539
11,2048,7,8110000,0.1842761837643962,-1.6913196480262038
11,2048,8,9110000,0.5338577666526727,-0.6276258300836342
11,2048,9,10110000,0.27420121779488277,-1.2938930705987133
12,4096,0,1120000,0.2765536220954937,-1.2853505451927831
12,4096,1,2120000,0.13275232304052031,-2.019270119649583
12,4096,2,3120000,0.1536560585131166,-1.8730385605737248
12,4096,3,4120000,0.25265745092022174,-1.375720656603586
12,4096,4,5120000,0.17373678194942122,-1.7502138725423384
12,4096,5,6120000,0.16183442423184632,-1.8211815390650905
12,4096,6,7120000,0.10411810790057917,-2.262229371316519
12,4096,7,8120000,0.1473830257453791,-1.9147204636234718
12,4096,8,9120000,0.29506210686518464,-1.2205694130546267
12,4096,9,10120000,0.2673670253044445,-1.3191329379076984
13,8192,0,1130000,0.08213174783398058,-2.499430640146598
13,8192,1,2130000,0.17700936417435406,-1.7315526428678714
13,8192,2,3130000,0.06865661060207226,-2.678637857127791
13,8192,3,4130000,0.08915924808807839,-2.4173312037876205
13,8192,4,5130000,0.08690242855985177,-2.442969300497702
13,8192,5,6130000,0.13104776292156445,-2.0321934197776184
13,8192,6,7130000,0.10405924455614002,-2.2627948828413147
13,8192,7,8130000,0.10283318185807298,-2.2746471973230076
