label,sample_k,samples,flops,error
sampling,1,2,263168,5311.539778404112
sampling,2,4,526336,3124.2443713303137
sampling,3,8,1052672,1204.3928798645734
sampling,4,16,2105344,594.9637809906426
sampling,5,32,4210688,244.33273197228348
sampling,6,64,8421376,172.08254760930606
sampling,7,128,16842752,57.64875024221526
sampling,8,256,33685504,34.76975019804488
sampling,9,512,67371008,12.482542817679658
sampling,10,1024,134742016,12.455955229323013
sampling,11,2048,269484032,9.28440697159474
sampling,12,4096,538968064,2.420235561982419
sampling,13,8192,1077936128,1.2268246312597166
sampling,14,16384,2155872256,0.553877413507277
sampling,15,32768,4311744512,0.48074690192467634
sampling,16,65536,8623489024,0.09790613251672162
sampling,17,131072,17246978048,0.09150950782432092
sampling,18,262144,34493956096,0.03404724793010209
sampling,19,524288,68987912192,0.010253129856896318
sampling,20,1048576,137975824384,0.009870695885064416
sampling,21,2097152,275951648768,0.005312177753253435
sampling,22,4194304,551903297536,0.002239158302168932
sampling,23,8388608,1103806595072,0.0011780615468781693
sampling,24,16777216,2207613190144,0.0005714058099419996
sampling,25,33554432,4415226380288,0.00034860269679577087
current K=4,1,2,85006709118,8.709183661808158
current K=4,2,4,85006774654,8.674403535550256
current K=4,3,8,85006905726,8.665772447377748
current K=4,4,16,85007167870,8.164388206194893
current K=4,5,32,85007692158,9.16501002686141
current K=4,6,64,85008740734,5.947730826243252
current K=4,7,128,85010837886,6.44738445155601
current K=4,8,256,85015032190,4.591781985232583
current K=4,9,512,85023420798,2.8842171267391996
current K=4,10,1024,85040198014,2.432286812243969
current K=4,11,2048,85073752446,1.1078609739034029
current K=4,12,4096,85140861310,0.7600942281083927
current K=4,13,8192,85275079038,0.40369502313579
current K=4,14,16384,85543514494,0.09860441838317208
current K=4,15,32768,86080385406,0.13778635972852768
current K=4,16,65536,87154127230,0.06149697008798926
current K=4,17,131072,89301610878,0.028737396090588462
current K=4,18,262144,93596578174,0.011592385717956654
current K=4,19,524288,102186512766,0.018232281181714445
current K=4,20,1048576,119366381950,0.009134275279579891
current K=4,21,2097152,153726120318,0.007728655295506777
current K=4,22,4194304,222445597054,0.008349744522478515
current K=4,23,8388608,359884550526,0.008289391198928157
current K=4,24,16777216,634762457470,0.008765348674815102
current K=4,25,33554432,1184518271358,0.008631730435065273
rank0 optimal,1,2,22254568094,8.776770365662035
rank0 optimal,2,4,22254764702,8.747428934072529
rank0 optimal,3,8,22255157918,8.708345228779745
rank0 optimal,4,16,22255944350,8.226460536644854
rank0 optimal,5,32,22257517214,9.203661450697979
rank0 optimal,6,64,22260662942,5.959453398429048
rank0 optimal,7,128,22266954398,6.493647829315333
rank0 optimal,8,256,22279537310,4.689537758015378
rank0 optimal,9,512,22304703134,2.9249650530850753
rank0 optimal,10,1024,22355034782,2.4114845616985443
rank0 optimal,11,2048,22455698078,1.0901774035692493
rank0 optimal,12,4096,22657024670,0.8059505079224059
rank0 optimal,13,8192,23059677854,0.44944814142397493
rank0 optimal,14,16384,23864984222,0.11139824765371908
rank0 optimal,15,32768,25475596958,0.15396370280931207
rank0 optimal,16,65536,28696822430,0.06360186010465547
rank0 optimal,17,131072,35139273374,0.04495839578608696
rank0 optimal,18,262144,48024175262,0.02940601137481185
rank0 optimal,19,524288,73793979038,0.030329522793722023
rank0 optimal,20,1048576,125333586590,0.022367519416611647
rank0 optimal,21,2097152,228412801694,0.021865842252047837
rank0 optimal,22,4194304,434571231902,0.02245665131548294
rank0 optimal,23,8388608,846888092318,0.021748376800915115
rank0 optimal,24,16777216,1671521813150,0.02305623951663817
rank0 optimal,25,33554432,3320789254814,0.02244077953616328
